name,frequency
drank,16
dread,16
driving,16
examined,16
facing,16
failed,16
famous,16
flock,16
formed,16
frowned,16
gain,16
gazing,16
goose,16
hall,16
handed,16
horse,16
inquire,16
irritably,16
job,16
knock,16
kuzmitch,16
language,16
laying,16
lifted,16
manner,16
marked,16
measure,16
movement,16
party,16
phrase,16
phrases,16
preliminary,16
proved,16
punish,16
questioned,16
quivering,16
rank,16
recalled,16
reckoning,16
regret,16
remark,16
reproach,16
request,16
revenge,16
rights,16
shining,16
shoulder,16
sing,16
single,16
spirits,16
stained,16
suicide,16
supposed,16
teachers,16
trace,16
tragedy,16
troubled,16
twentyfive,16
utter,16
visits,16
weakness,16
weeks,16
wept,16
wounded,16
wrath,16
addressed,15
belief,15
brass,15
calm,15
challenge,15
closed,15
coffee,15
conceal,15
considered,15
continual,15
degrees,15
deserve,15
desires,15
despised,15
destiny,15
difficulty,15
dignified,15
disappeared,15
disgraceful,15
distinctly,15
fantastic,15
fashion,15
fearfully,15
fourteen,15
frantic,15
hat,15
haunted,15
ikons,15
incapable,15
infinite,15
intellect,15
kolyas,15
learn,15
learning,15
linen,15
managed,15
matters,15
mattress,15
murdering,15
neighborhood,15
novice,15
offense,15
opportunity,15
passionate,15
pistol,15
poetry,15
powder,15
punished,15
raise,15
recovered,15
rejoice,15
remarkable,15
remembering,15
reputation,15
rouble,15
sad,15
satisfaction,15
sending,15
sensitive,15
sharp,15
sincerely,15
sobbing,15
social,15
staying,15
study,15
summer,15
tail,15
tormented,15
wake,15
wide,15
wooden,15
wore,15
wretch,15
yellow,15
absolute,14
accuse,14
adelaïda,14
ages,14
amusing,14
angels,14
anxiously,14
apparent,14
ass,14
assented,14
attain,14
attitude,14
badly,14
beggar,14
breathless,14
broad,14
careful,14
carefully,14
clasped,14
client,14
compliments,14
creation,14
curious,14
declare,14
depressed,14
design,14
direct,14
effort,14
expense,14
farewell,14
farthing,14
filthy,14
fish,14
fits,14
founded,14
furious,14
gayly,14
generals,14
grin,14
guard,14
heads,14
hoping,14
horribly,14
idiot,14
impatient,14
inquisitor,14
intended,14
journey,14
jump,14
knife,14
legend,14
losing,14
malicious,14
memories,14
occasions,14
openly,14
painfully,14
paris,14
persuade,14
picture,14
pieces,14
plainly,14
pleasure,14
prejudice,14
presentiment,14
profound,14
proper,14
properly,14
rapidly,14
reach,14
reckless,14
reckoned,14
regard,14
religious,14
repeating,14
reward,14
romance,14
screen,14
served,14
settled,14
severely,14
shake,14
share,14
sharply,14
shoot,14
space,14
spring,14
stare,14
staring,14
stated,14
stinking,14
stories,14
stretched,14
struggling,14
swollen,14
teaching,14
tight,14
trick,14
ugly,14
vanity,14
viii,14
violently,14
waved,14
wise,14
abandon,13
active,13
affairs,13
