name,frequency
calumnia,5
capitalista,5
capote,5
caricias,5
carreira,5
carteiro,5
casado,5
ceder,5
cemiterio,5
censura,5
centro,5
chacara,5
chama,5
cheias,5
chora,5
cigarra,5
commoção,5
comnosco,5
completa,5
comprehende,5
compridos,5
conselho,5
conselhos,5
contacto,5
continuar,5
conversar,5
coroa,5
crime,5
cruzou,5
cujo,5
curiosos,5
curta,5
curto,5
custou,5
cór,5
defuncta,5
deitou,5
deixala,5
desastre,5
descançar,5
desculpa,5
deve,5
deviam,5
devota,5
digna,5
diria,5
dividas,5
divina,5
duque,5
duqueza,5
edade,5
empreza,5
enthusiasmo,5
ergueuse,5
escrever,5
escrevera,5
escutava,5
espreitava,5
estima,5
estremeceu,5
eugenia,5
execução,5
extraordinarias,5
factos,5
fallando,5
falloulhe,5
familiarmente,5
feitos,5
feições,5
fela,5
ficara,5
fico,5
fixos,5
fiz,5
fogo,5
formigas,5
formula,5
forças,5
freguez,5
frequentes,5
fria,5
hasde,5
hesitação,5
iii,5
ilha,5
impetos,5
incidente,5
inventar,5
inventario,5
invenção,5
irem,5
irmão,5
jornal,5
juizo,5
juro,5
lacaio,5
lançou,5
laço,5
leite,5
leitura,5
lembrase,5
lentamente,5
lenço,5
longo,5
lucien,5
luto,5
magnifica,5
marcha,5
melancolia,5
mental,5
metterse,5
mineiro,5
mirando,5
morros,5
musica,5
natal,5
noiva,5
notas,5
notou,5
novas,5
nuvens,5
objecto,5
obscura,5
obsequios,5
official,5
opposição,5
orelha,5
orgão,5
ouve,5
ouvi,5
paciencia,5
padecer,5
padrinho,5
pantorrilhas,5
papeis,5
parava,5
passaram,5
passasse,5
pedir,5
pedra,5
pegandolhe,5
pegava,5
peior,5
peor,5
pera,5
perde,5
perdão,5
pharmacia,5
policia,5
politico,5
ponta,5
posse,5
prata,5
prato,5
prendas,5
prestito,5
pretexto,5
procurou,5
programma,5
projecto,5
proprias,5
propriedade,5
pára,5
quaes,5
querem,5
querer,5
querida,5
quieto,5
rapida,5
rapidamente,5
rara,5
razões,5
recado,5
recentes,5
relativamente,5
reminiscencias,5
replicou,5
resentimento,5
resolveu,5
respirou,5
ricas,5
risonho,5
rival,5
ruim,5
ruinas,5
réis,5
sabes,5
sapatos,5
sege,5
segredo,5
seguida,5
senador,5
sentiase,5
sentimentos,5
sentiuse,5
sequer,5
sonho,5
sonora,5
sorte,5
sujeito,5
sujeitos,5
supposição,5
teimava,5
teimou,5
terror,5
tonto,5
tranquilla,5
trastes,5
trata,5
trazer,5
tremia,5
troca,5
ultimas,5
valsa,5
vergonha,5
verá,5
viam,5
vindo,5
vinho,5
visinhança,5
viua,5
viva,5
voltando,5
voltandose,5
abertas,4
aborrecimento,4
abria,4
abrindo,4
abrisse,4
acaba,4
acabado,4
acabasse,4
acanhado,4
accender,4
accrescentou,4
aceitou,4
acha,4
achado,4
achavam,4
ache,4
achei,4
acompanhando,4
acompanhava,4
acompanhouo,4
acontecer,4
acredita,4
acreditava,4
actos,4
actual,4
acudia,4
admirado,4
admirava,4
admirações,4
agulha,4
alcunha,4
alegres,4
alem,4
alheias,4
allegoria,4
almeida,4
almofada,4
amphytrião,4
ancioso,4
angelica,4
anjo,4
apertoulhe,4
aposto,4
apparecia,4
applauso,4
arvores,4
attitudes,4
attribuia,4
autora,4
bacharel,4
