name,frequency
indignation,50
laughter,50
legs,50
lets,50
merchant,50
message,50
mihail,50
miracles,50
ordinary,50
praying,50
precisely,50
prove,50
road,50
rooms,50
shot,50
sins,50
sister,50
stared,50
suspected,50
tender,50
tongue,50
tortured,50
worst,50
actually,48
bag,48
believing,48
blessing,48
comfort,48
company,48
drive,48
education,48
enter,48
evident,48
figure,48
finish,48
foolish,48
former,48
gentle,48
growing,48
honorable,48
hurt,48
importance,48
impressed,48
incident,48
insult,48
kondratyevna,48
locked,48
lofty,48
longer,48
lower,48
marketplace,48
motive,48
mouth,48
opposite,48
paid,48
playing,48
pronounced,48
proof,48
property,48
refused,48
relation,48
science,48
scream,48
serve,48
sohn,48
spare,48
spiteful,48
temper,48
top,48
utmost,48
vrublevsky,48
admitted,46
agreed,46
allowed,46
angrily,46
beautiful,46
blue,46
body,46
capable,46
catastrophe,46
consent,46
continued,46
conviction,46
cries,46
cruel,46
fury,46
hot,46
latter,46
lead,46
misha,46
nearly,46
necessary,46
none,46
offer,46
offered,46
persuaded,46
possibly,46
punishment,46
singing,46
tear,46
tiny,46
understanding,46
uneasy,46
unseemly,46
von,46
waked,46
wondering,46
worried,46
worry,46
audience,44
betrayed,44
bitterly,44
brief,44
cards,44
career,44
concluded,44
creatures,44
crushed,44
curse,44
doctors,44
dress,44
duel,44
ears,44
easy,44
explanation,44
faces,44
fair,44
false,44
flowers,44
flushed,44
flying,44
goodness,44
group,44
hang,44
helped,44
hopes,44
judges,44
karamazovs,44
leading,44
lodge,44
meanwhile,44
mentioned,44
middle,44
murmured,44
naturally,44
neither,44
putting,44
responsible,44
reverence,44
shell,44
shook,44
sides,44
soft,44
spoken,44
takes,44
torn,44
twelve,44
unconscious,44
upset,44
utterly,44
warm,44
zhutchka,44
agafya,42
amazement,42
assure,42
bent,42
bringing,42
cellar,42
chance,42
cheerful,42
chest,42
crossed,42
determined,42
drawn,42
drop,42
ecstasy,42
essential,42
filled,42
forced,42
forty,42
grow,42
immortality,42
judgment,42
memory,42
needed,42
number,42
paces,42
prepared,42
prosecution,42
rapid,42
ringing,42
rule,42
sacrifice,42
seeming,42
shop,42
shout,42
snatched,42
sorrow,42
splendid,42
suggested,42
surely,42
tall,42
theory,42
thinks,42
walking,42
walls,42
watched,42
aberration,40
advice,40
alas,40
arm,40
arrest,40
base,40
bell,40
below,40
blow,40
candle,40
cap,40
choose,40
circumstance,40
deceived,40
desperate,40
destroy,40
drawingroom,40
driven,40
eager,40
earthly,40
eat,40
eleven,40
entering,40
equal,40
eternal,40
everywhere,40
fallen,40
fearful,40
finally,40
fist,40
following,40
frenzy,40
gently,40
gospel,40
gradually,40
gray,40
hanging,40
hastened,40
heavens,40
hurried,40
hush,40
impatience,40
joking,40
lizaveta,40
longed,40
lover,40
mistaken,40
moreover,40
nasty,40
noted,40
offended,40
onion,40
painful,40
praise,40
rage,40
reality,40
recognized,40
rival,40
saints,40
sees,40
senseless,40
settle,40
shameful,40
signs,40
slept,40
stole,40
stones,40
strangely,40
thrown,40
vi,40
vii,40
village,40
alarmed,38
art,38
bedroom,38
box,38
burning,38
characteristic,38
cottage,38
created,38
debt,38
draw,38
dreadful,38
entrance,38
faltered,38
flashed,38
forth,38
fortnight,38
fortune,38
frivolous,38
glance,38
grateful,38
habit,38
harmony,38
health,38
hero,38
hiding,38
highly,38
hit,38
hysterics,38
ideal,38
impulse,38
informed,38
kissing,38
lawful,38
makarovitch,38
masters,38
moving,38
ordered,38
played,38
pointing,38
possession,38
prosecutors,38
pull,38
replied,38
resolved,38
restrain,38
robbery,38
sacred,38
salvation,38
satisfied,38
snow,38
sons,38
soup,38
teeth,38
thrashed,38
towel,38
trust,38
unknown,38
until,38
whos,38
wicked,38
windows,38
womans,38
worship,38
accepted,36
affair,36
anecdote,36
babe,36
birds,36
circumstances,36
clean,36
concealed,36
confirmed,36
copse,36
describe,36
district,36
dogs,36
enemies,36
expectation,36
extreme,36
fast,36
flashing,36
forgiven,36
front,36
gained,36
game,36
gathered,36
genuine,36
gold,36
grigorys,36
hide,36
history,36
hohlakovs,36
inheritance,36
intelligence,36
interview,36
invented,36
iosif,36
kindly,36
kitchen,36
lately,36
lines,36
lodging,36
looks,36
lyagavy,36
mass,36
merely,36
mysterious,36
nervously,36
nina,36
occasion,36
owing,36
parricide,36
peoples,36
perhotin,36
persisted,36
picked,36
poem,36
province,36
pulling,36
queen,36
rag,36
receive,36
recognize,36
reflected,36
respected,36
ridiculous,36
righteous,36
savage,36
sensible,36
seriously,36
setting,36
signal,36
sincere,36
snapped,36
snegiryov,36
station,36
stern,36
sternly,36
teacher,36
tells,36
thrust,36
timid,36
touching,36
tow,36
treated,36
trivial,36
unconsciously,36
universal,36
valet,36
weapon,36
america,34
announced,34
article,34
beaten,34
begging,34
bold,34
bowing,34
childish,34
coarse,34
confidence,34
consequence,34
country,34
crimson,34
deny,34
devils,34
disease,34
disliked,34
emphatically,34
empty,34
established,34
examination,34
express,34
falling,34
fifty,34
forgetting,34
fresh,34
frowning,34
further,34
gates,34
genuinely,34
goldmines,34
grand,34
grusha,34
guests,34
happens,34
hospital,34
hymn,34
inevitable,34
insisted,34
institution,34
kindness,34
longing,34
mens,34
merry,34
occurred,34
ourselves,34
pain,34
parts,34
personal,34
polish,34
positive,34
prayed,34
pressed,34
prevent,34
previous,34
rarely,34
resolution,34
respectfully,34
roused,34
sacrament,34
saving,34
seeking,34
sly,34
sobs,34
souls,34
stayed,34
steal,34
style,34
sufferings,34
suspense,34
train,34
troy,34
unexpectedly,34
venture,34
virtue,34
vodka,34
wisp,34
worthy,34
zossimas,34
abandoned,32
accused,32
advantage,32
ancient,32
appear,32
avoid,32
bare,32
birth,32
built,32
bundle,32
cannon,32
cast,32
cheeks,32
composure,32
condemn,32
contemptuously,32
dardanelov,32
de,32
delirium,32
desired,32
difference,32
dirty,32
drank,32
dread,32
driving,32
everybody,32
examined,32
facing,32
failed,32
famous,32
flock,32
formed,32
frowned,32
gain,32
gazing,32
goose,32
hall,32
handed,32
horse,32
inquire,32
irritably,32
job,32
keeps,32
knock,32
kuzmitch,32
language,32
laying,32
lifted,32
manner,32
marked,32
measure,32
movement,32
nine,32
orders,32
particular,32
party,32
phrase,32
phrases,32
preliminary,32
proved,32
punish,32
questioned,32
quivering,32
rank,32
recalled,32
reckoning,32
regret,32
remark,32
reproach,32
request,32
revenge,32
rights,32
shining,32
shoulder,32
sing,32
single,32
spirits,32
stained,32
suicide,32
supposed,32
teachers,32
thick,32
trace,32
tragedy,32
troubled,32
twentyfive,32
utter,32
value,32
visits,32
weakness,32
weeks,32
wept,32
wounded,32
wrath,32
abroad,30
addressed,30
belief,30
brass,30
calm,30
challenge,30
closed,30
coffee,30
conceal,30
considered,30
continual,30
degrees,30
deserve,30
desires,30
despised,30
destiny,30
difficulty,30
dignified,30
disappeared,30
disgraceful,30
distinctly,30
fantastic,30
fashion,30
fearfully,30
fourteen,30
frantic,30
gives,30
hat,30
haunted,30
ikons,30
incapable,30
infinite,30
intellect,30
kolyas,30
learn,30
learning,30
linen,30
managed,30
matters,30
mattress,30
murdering,30
mustnt,30
neighborhood,30
novice,30
offense,30
opportunity,30
outside,30
passionate,30
pistol,30
poetry,30
powder,30
punished,30
raise,30
recovered,30
rejoice,30
remarkable,30
remembering,30
reputation,30
rouble,30
sad,30
satisfaction,30
sending,30
sensitive,30
sharp,30
sincerely,30
sobbing,30
social,30
staying,30
study,30
summer,30
tail,30
tormented,30
unto,30
wake,30
wide,30
wish,30
wooden,30
wore,30
wretch,30
yellow,30
younger,30
absolute,28
accuse,28
adelaïda,28
ages,28
amusing,28
angels,28
anxiously,28
apparent,28
ass,28
assented,28
attain,28
attitude,28
badly,28
beggar,28
breathless,28
broad,28
careful,28
carefully,28
clasped,28
client,28
compliments,28
creation,28
curious,28
deceased,28
declare,28
depressed,28
design,28
direct,28
distinguished,28
effort,28
expense,28
farewell,28
farthing,28
filthy,28
fish,28
fits,28
founded,28
furious,28
gayly,28
generals,28
grin,28
guard,28
heads,28
hm,28
hoping,28
horribly,28
idiot,28
impatient,28
inner,28
inquisitor,28
intended,28
itll,28
journey,28
jump,28
knife,28
legend,28
losing,28
malicious,28
memories,28
occasions,28
opening,28
openly,28
ours,28
painfully,28
paris,28
persuade,28
picture,28
pieces,28
plainly,28
pleasure,28
prejudice,28
presentiment,28
profound,28
proper,28
properly,28
rapidly,28
reach,28
reckless,28
reckoned,28
regard,28
religious,28
repeating,28
reward,28
romance,28
screen,28
served,28
settled,28
severely,28
shake,28
share,28
sharply,28
shoot,28
space,28
spring,28
stare,28
staring,28
stated,28
stinking,28
stories,28
stretched,28
struggling,28
swollen,28
teaching,28
throughout,28
tight,28
trick,28
ugly,28
vanity,28
viii,28
violently,28
waved,28
wise,28
worked,28
abandon,26
active,26
affairs,26
amazed,26
assistance,26
astonishment,26
awaiting,26
becomes,26
benefactor,26
blows,26
books,26
breaking,26
buried,26
burnt,26
caused,26
centuries,26
compassion,26
conduct,26
consciousness,26
control,26
cook,26
corruption,26
crush,26
cure,26
daughters,26
dawn,26
deed,26
document,26
doubts,26
dreadfully,26
driver,26
eagerly,26
epileptic,26
escaped,26
fairly,26
fellows,26
fierce,26
frantically,26
french,26
fright,26
funny,26
german,26
goodnatured,26
gravely,26
guess,26
hers,26
highest,26
hitherto,26
huge,26
hundredrouble,26
imagination,26
impressively,26
impulsively,26
instinctively,26
insulting,26
involuntarily,26
irresistible,26
joyfully,26
knocking,26
lad,26
lake,26
leg,26
maid,26
maintained,26
market,26
marvelous,26
mechanically,26
medicine,26
merchants,26
miraculous,26
obscure,26
overcoat,26
overwhelmed,26
paradise,26
pondering,26
pound,26
psychology,26
pure,26
quivered,26
rakitins,26
rapture,26
reject,26
rejected,26
repay,26
satan,26
scandal,26
schoolboy,26
schoolboys,26
schoolfellows,26
screamed,26
seconds,26
security,26
self,26
sends,26
sentence,26
shameless,26
shows,26
solemnly,26
specially,26
summerhouse,26
suspect,26
sympathy,26
talented,26
talks,26
temptation,26
thanks,26
thirst,26
throwing,26
timidly,26
torture,26
tragic,26
triumph,26
uneasiness,26
vain,26
whenever,26
worlds,26
wouldst,26
wronged,26
youthful,26
abruptly,24
absence,24
accursed,24
ach,24
agitation,24
agony,24
arent,24
arrested,24
asks,24
aunt,24
authorities,24
awake,24
becoming,24
bottles,24
bought,24
capital,24
captains,24
consideration,24
criticism,24
crossing,24
cunning,24
curtain,24
dancing,24
dangerous,24
deeply,24
deliberately,24
delirious,24
der,24
destroyed,24
devoted,24
dishonorable,24
distress,24
dozen,24
dry,24
dull,24
ear,24
embrace,24
enemy,24
everlasting,24
exclamations,24
existed,24
familiar,24
favorable,24
feast,24
final,24
foolishness,24
foresaw,24
forest,24
frenzied,24
friendly,24
frost,24
frozen,24
funeral,24
gladness,24
gloomily,24
gossip,24
gott,24
green,24
grounds,24
grownup,24
guest,24
handsome,24
hasten,24
hinder,24
hut,24
intensely,24
intimate,24
invited,24
irritable,24
irritation,24
joyful,24
jumping,24
keen,24
laceration,24
lack,24
laughs,24
luck,24
lust,24
medical,24
meek,24
midnight,24
miserable,24
misery,24
mixed,24
modest,24
nobody,24
obliged,24
observe,24
officers,24
overcome,24
pipe,24
pockets,24
presented,24
preserved,24
remote,24
repulsion,24
revolting,24
roared,24
robbed,24
satisfy,24
sensation,24
sentimentality,24
significance,24
sink,24
sinner,24
sky,24
slave,24
solitary,24
song,24
spread,24
stands,24
sword,24
taverns,24
tchizhov,24
terms,24
troika,24
unpleasant,24
usual,24
varvara,24
verse,24
vile,24
vindictive,24
wanting,24
wasted,24
ways,24
winter,24
wives,24
wound,24
yourselves,24
acquitted,22
acted,22
acting,22
actual,22
appears,22
approaching,22
around,22
attempt,22
behold,22
believes,22
bernard,22
besought,22
bewildered,22
blind,22
blushing,22
bravo,22
celebrated,22
cest,22
clutched,22
compared,22
confirm,22
confound,22
contemptuous,22
cup,22
cupboard,22
cursed,22
deeds,22
definite,22
describing,22
distressed,22
downstairs,22
dragged,22
dreaming,22
educated,22
episode,22
eve,22
events,22
excellency,22
feed,22
finding,22
fired,22
flinging,22
footing,22
forester,22
fourth,22
frighten,22
fun,22
furiously,22
generosity,22
gift,22
glanced,22
glowed,22
grace,22
gratitude,22
heavenly,22
heavy,22
holds,22
hoped,22
horrible,22
humility,22
humor,22
imagined,22
impatiently,22
incredible,22
inside,22
introduced,22
kids,22
killing,22
kingdom,22
knee,22
land,22
landlady,22
landlord,22
leaves,22
lessons,22
mavriky,22
mavrikyevitch,22
meantime,22
metropolis,22
minds,22
mistake,22
moaned,22
morrow,22
motionless,22
noticing,22
nuts,22
obdorsk,22
obedience,22
obvious,22
older,22
pack,22
pani,22
passionately,22
pause,22
peeped,22
perhotins,22
perplexity,22
pink,22
planned,22
plenty,22
plotnikovs,22
poverty,22
practical,22
preparing,22
pretend,22
produced,22
proofs,22
protocol,22
quarrel,22
quarter,22
reader,22
regarded,22
regardless,22
regiment,22
removed,22
renounce,22
report,22
resentment,22
resist,22
richard,22
rising,22
roll,22
rush,22
sabaneyev,22
samsonovs,22
search,22
secretly,22
shaken,22
shortly,22
shrieked,22
signed,22
simplicity,22
sinful,22
sinned,22
sinners,22
skull,22
smell,22
soldier,22
solitude,22
start,22
stick,22
stopping,22
student,22
superiors,22
surprising,22
svyetlov,22
swore,22
tenderly,22
tore,22
unnatural,22
unworthy,22
vague,22
victim,22
volovya,22
welcome,22
wickedness,22
wind,22
worrying,22
writes,22
writing,22
yefim,22
accompanied,20
accomplice,20
actions,20
affection,20
annoyed,20
anywhere,20
apologize,20
approached,20
army,20
aroused,20
arrange,20
articulated,20
assumed,20
attracted,20
bank,20
behavior,20
bloodstained,20
bore,20
bosom,20
brilliant,20
buy,20
calls,20
childs,20
color,20
commission,20
complaining,20
condemned,20
confidently,20
confused,20
considerable,20
contained,20
conversations,20
countenance,20
courts,20
create,20
darted,20
degradation,20
delay,20
depths,20
deserved,20
diderot,20
direction,20
disconcerted,20
disgust,20
dislike,20
disturb,20
doorway,20
dowry,20
drawled,20
drunkenness,20
dumb,20
duties,20
ease,20
eating,20
ends,20
enthusiasm,20
european,20
event,20
example,20
fail,20
faint,20
fasting,20
feminine,20
fight,20
gasped,20
gay,20
gesture,20
glasses,20
glowing,20
grasped,20
haughty,20
helpless,20
hint,20
honored,20
hosannah,20
hotly,20
humiliating,20
ice,20
ikon,20
indignant,20
innocence,20
insanity,20
insolent,20
intentionally,20
invalid,20
